Name|Abstract|Label
Bataan_Death_March|The Bataan Death March (Filipino: Martsa ng Kamatayan sa Bataan; Japanese: バターン死の行進 Hepburn: Batān Shi no Kōshin) was the forcible transfer by the Imperial Japanese Army of 60000–80000 American and Filipino prisoners of war from Saysain Point Bagac Bataan and Mariveles to Camp O'Donnell Capas Tarlac via San Fernando Pampanga where the prisoners were loaded onto trains. The transfer began on April 9 1942 after the three-month Battle of Bataan in the Philippines during World War II. The total distance marched from Mariveles to San Fernando and from the Capas Train Station to Camp O'Donnell is variously reported by differing sources as between 60 and 69.6 miles (96.6 and 112.0 km). Differing sources also report widely differing prisoner of war casualties prior to reaching Camp O'Donnell: from 5000 to 18000 Filipino deaths and 500 to 650 American deaths during the march. The march was characterized by severe physical abuse and wanton killings and was later judged by an Allied...|1
Hikitia|"Hikitia is a working self-propelled floating steam crane in Wellington New Zealand. She is thought to be the only working steam crane of her type in the world. She is also the sister ship to the Rapaki formerly of the Port of Lyttelton which is now at the New Zealand Maritime Museum.


== Engines ==
Twin screws are driven by surface-condensing direct-drive compound engines which were supplied with steam by a coal-fired Scotch boiler with two furnaces. A similar but oil-fired boiler replaced the original boiler in 1963. In 1980 this was also removed and the present two locally made small modern package boilers were installed. These new boilers produce less steam than the original ones.


== Crane ==
The hull of the vessel was built by Fleming & Ferguson and the crane was built by Sir William Arrol & Co. of Glasgow. The crane alone weighs 310 tonnes and was built to lift 80 tonnes. However while dismantling the wreck of TEV Wahine it is thought that she lifted 140 tonnes. In 2004 she lifted..."|0
Walleye|The walleye  (Sander vitreus synonym Stizostedion vitreum) also called the yellow pike or  yellow pickerel is a freshwater perciform fish native to most of Canada and to the Northern United States. It is a North American close relative of the European zander also known as the pikeperch. The walleye is sometimes called the yellow walleye to distinguish it from the blue walleye which is a subspecies that was once found in the southern Ontario and Quebec regions but is now presumed extinct. However recent genetic analysis of a preserved (frozen) 'blue walleye' sample suggests that the blue and yellow walleye were simply phenotypes within the same species and do not merit separate taxonomic classification.In parts of its range in English-speaking Canada the walleye is known as a pickerel  though the fish is not related to the true pickerels which are a member of the family Esocidae.Walleyes show a fair amount of variation across watersheds. In general fish within a watershed are...|0
Bill_Parker_(comics)|"William Lee Parker (September 11 1911 – January 31 1963) was an American comic book writer and editor. He is best known for creating the Fawcett Comics character Captain Marvel in 1939 along with artist C. C. Beck.


== Life and career ==
Parker was born in East Orange New Jersey. He graduated in 1929 from The Lawrenceville School in New Jersey and then attended Princeton University where he was a member of the Cannon Club Press Club and ROTC.  After graduating from Princeton in 1933 with a degree in English Literature Parker worked for three years for the New York Herald Tribune as a sports editor and in the education department followed by a year as sports editor of the Literary Digest.  
In September 1937 Parker joined Fawcett Publications initially as an editor on its crime and detective magazines and then as an editor on its movie magazine line.  He stayed in this role until August 1939 when he was asked to become the senior editor of a new comic book line that Fawcett intended..."|0
Anju_Panta|"Anju Panta (Nepali: अन्जु पन्त) is a Nepalese ghazals and playback singer.  She sang popular numbers including the title song of Ma Timi Bina Marihaalchhu Bhun bhun bolyo bhamara of Saput Dil yo mero dil in Kismat and Sustari sustari mannma for Darr. Panta sang for 18 films and more than 100 Nepalese songs in duets and solos. 


== Albums ==
Dute: Gaatha Koshe Dhunga Man Uddyo Samyog with (Jagit Singh)
single: ""Kampan Ma Sanga Nahuda""
Collections: Kiran Anurag Anjuli Sarathi Kasam kina kina Divorce sadhana Sarod Sameep Timro khusi samjhauta Nirasha Gopya kura maya pirati hoina haar Kasur Timro maan Timilainai maya garxu Amar preem 2 Anamol Kinara nayan Ausadhi Sharadda Antar Dhara meri Priya...more than 5 thousand songs (including albums and films)
Various TV serials and advertisements
Over 6000 songs


== Hindu song controversy ==
She was widely criticized on Nepalese social media after news reports on 5 September 2014 claimed that she refused to sing a festival..."|0
Naval_Battle_of_Casablanca|The Naval Battle of Casablanca was a series of naval engagements fought between American ships covering the invasion of North Africa and Vichy French ships defending the neutrality of French Morocco in accordance with the Second Armistice at Compiègne during World War II. The last stages of the battle consisted of operations by German U-boats which had reached the area the same day the French troops surrendered.Allied military planners anticipated an all-American force assigned to seize the Atlantic port city of Casablanca might be greeted as liberators. An invasion task force of 102 American ships carrying 35000 American soldiers approached the Moroccan coast undetected under cover of darkness. French defenders interpreted the first contacts as a diversionary raid for a major landing in Algeria; and Germany regarded the surrender of six Moroccan divisions to a small commando raiding force as a clear violation of French obligations to defend Moroccan neutrality under the Armistice of 22...|1
Grasshopper_(musician)|"Grasshopper (born Sean Thomas Mackowiak May 25 1967) is an American musician with the band Mercury Rev. He has also appeared with Rev side-project Harmony Rockets his own band Grasshopper and the Golden Crickets and as a guest musician on numerous other recordings.


== Early years ==
Mackowiak's early years have been colored by a 1991 interview given to music publication Melody Maker which claimed that he met Rev singer Jonathan Donahue in Camp Sunshine a reform camp for juvenile delinquents at the age of ten.

Grasshopper was throwing dead squirrels and rats into a lawnmower when Jonathan met him. The blood spattered over a watching group of retarded kids and they screamed and yelled. They yelled ""Now throw the possum in! The Possum! The possum too!"" Muses Jonathan ""When you're younger these things make a more vivid impression. I remember huge adrenaline rushes as the guts flew and hit people on the legs. I don't know what Grasshopper had done to get in there. He doesn't talk about..."|0
Magpie-lark|"The magpie-lark (Grallina cyanoleuca) also known as the peewee peewit or mudlark is a passerine bird native to Australia Timor and southern New Guinea. The male and female both have black and white plumage though with different patterns. John Latham described the species in 1801. Long thought to be a member of the mudnest builder family Corcoracidae it has been reclassified in the family Monarchidae (the monarch flycatchers). Two subspecies are recognized.


== Taxonomy and systematics ==
The magpie-lark was originally described by the English ornithologist John Latham in the genus Corvus in 1801 (as Corvus cyanoleucus). Its species name is derived from the Ancient Greek words cyanos ""dark blue"" and leukos ""white"" despite the black and white plumage. However there can be a bluish sheen to the black back. In the same publication Latham described the same species as Gracula picata. In 1843 Hugh Edwin Strickland proposed using the second name as it was the more accurate resulting in..."|0
Cosmopolites|"Cosmopolites is a genus of true weevil in the Dryophthorinae subfamily and tribe Sphenophorini.  The type species and most economically important is the banana weevil Cosmopolites sordidus.


== Species ==
The genus contains at least five described species including the following:

Cosmopolites sordidus (Germar 1824) Marshall G.A.K. 1930 banana weevil banana stemborer
Cosmopolites cribricollis Csiki E. 1936
Cosmopolites mendicus Csiki E. 1936
Cosmopolites pruinosus Heller K.M. 1934
Cosmopolites striatus Fairmaire L. 1902


== Notes and references... =="|0
Vera_Wang|"Vera Ellen Wang (Chinese: 王薇薇; pinyin: Wáng Wēiwēi; born June 27 1949) is an American fashion designer based in New York City.


== Early life and education ==
Vera Ellen Wang was born and raised in New York City and is of Chinese descent. Her parents were born in China and came to the United States in the mid-1940s. Her mother Florence Wu (Wu Chifang) worked as a translator for the United Nations while her father Cheng Ching Wang (Wang Chengqing) a graduate of Yanjing University and MIT owned a medicine company. Her maternal grandfather is Fengtian clique warlord Wu Junsheng who was killed by the Empire of Japan in the Huanggutun incident in 1928.  Wang has one younger brother Kenneth.Wang attended Friends Seminary graduated from The Chapin School in 1967 attended the University of Paris and earned a degree in art history from Sarah Lawrence College. Wang began figure skating at the age of eight. While in high school she trained with pairs partner James Stuart and competed..."|0
